[ExifTool, ExifTool, ExifTool, Main] ExifToolVersion - ExifTool Version Number: 12.42
[File, File, Image, Doc1] 329 - Convergence Angle: 0
[File, File, Image, Doc1] 387 - Shift Offset X: 0
[File, File, Image, Doc1] 395 - Shift Offset Y: 0
[File, File, Image, Doc1] 403 - Shift X: -0.00886260531842709
[File, File, Image, Doc1] 411 - Shift Y: 0.00178224826231599
[File, File, Image, Doc1] 419 - Integration Time: 0.299076
[File, File, Image, Doc1] 427 - Binning Width: 1
[File, File, Image, Doc1] 431 - Binning Height: 1
[File, File, Image, Doc1] 435 - Camera Name: BM-Falcon
[File, File, Image, Doc1] 451 - Readout Area Left: 0
[File, File, Image, Doc1] 455 - Readout Area Top: 0
[File, File, Image, Doc1] 459 - Readout Area Right: 4096
[File, File, Image, Doc1] 463 - Readout Area Bottom: 4096
[File, File, Image, Doc1] 472 - Direct Det Electron Counting: No
[File, File, Image, Doc1] 473 - Direct Det Align Frames: No
[File, File, Image, Doc1] 490 - Bitmask 3: 0x007e8040
[File, File, Image, Doc1] 518 - Phase Plate: Yes
[File, File, Image, Doc1] 571 - Dwell Time: 0
[File, File, Image, Doc1] 587 - Scan Size Left: 0
[File, File, Image, Doc1] 591 - Scan Size Top: 0
[File, File, Image, Doc1] 595 - Scan Size Right: 0
[File, File, Image, Doc1] 599 - Scan Size Bottom: 0
[File, File, Image, Doc1] 603 - Full Scan FOV X: 0.473917752802174
[File, File, Image, Doc1] 611 - Full Scan FOV Y: 0.473917752802174
[File, File, Image, Doc1] 748 - Bitmask 4: 0x00000000
[Composite, Composite, Image, Main] Exif-ImageSize - Image Size: 4096x4096
[Composite, Composite, Image, Main] Exif-Megapixels - Megapixels: 16.8
